sep=|
ti_id|titel|vols|jaar|druk|ppn_o|bibliotheek|categorie|_jaar|pers_id|voornaam|voorvoegsel|achternaam|jaar_geboren|jaar_overlijden|geb_datum|overl_datum|geb_plaats|overl_plaats|geb_plaats_code|geb_land_code|overl_plaats_code|overl_land_code|vrouw|url|text_url|maand|genre|
"aa__001bekn01"|"Beknopte geschied- en aardrijkskundige beschrijving van het Koningrijk der Nederlanden en het Groothertogdom Luxemburg"||"1844"|"1ste druk"|"393184846"|"haarl001stad01"|"1"|"1844"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001bekn01_01"|||"jeugdliteratuur"|
"aa__001biog00"|"Biographisch woordenboek der Nederlanden"||"1852-1878"|"1ste druk"|"39497865X"||"1"|"1852"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog00_01"|||"non-fictie"|
"aa__001biog01"|"Biographisch woordenboek der Nederlanden. Deel 1"||"1852"|"1ste druk"||"leide001dbnl01"|"1"|"1852"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog01_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog01"|"2009_11   "|"non-fictie"|
"aa__001biog02"|"Biographisch woordenboek der Nederlanden. Deel 2. Eerste en tweede stuk"||"1854"|"1ste druk"||"leide001dbnl01"|"1"|"1854"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog02_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog02"|"2009_11   "|"non-fictie"|
"aa__001biog03"|"Biographisch woordenboek der Nederlanden. Deel 2. Derde en vierde stuk"||"1855"|"1ste druk"||"leide001dbnl01"|"1"|"1855"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog03_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog03"|"2009_11   "|"non-fictie"|
"aa__001biog04"|"Biographisch woordenboek der Nederlanden. Deel 3"||"1858"|"1ste druk"||"leide001dbnl01"|"1"|"1858"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog04_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog04"|"2009_11   "|"non-fictie"|
"aa__001biog05"|"Biographisch woordenboek der Nederlanden. Deel 4"||"1858"|"1ste druk"||"leide001dbnl01"|"1"|"1858"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog05_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog05"|"2009_11   "|"non-fictie"|
"aa__001biog06"|"Biographisch woordenboek der Nederlanden. Deel 5"||"1859"|"1ste druk"||"leide001dbnl01"|"1"|"1859"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog06_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog06"|"2009_11   "|"non-fictie"|
"aa__001biog07"|"Biographisch woordenboek der Nederlanden. Deel 6"||"1859"|"1ste druk"||"leide001dbnl01"|"1"|"1859"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog07_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog07"|"2009_11   "|"non-fictie"|
"aa__001biog08"|"Biographisch woordenboek der Nederlanden. Deel 7"||"1862"|"1ste druk"||"leide001dbnl01"|"1"|"1862"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog08_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog08"|"2009_11   "|"non-fictie"|
"aa__001biog09"|"Biographisch woordenboek der Nederlanden. Deel 8. Eerste stuk"||"1867"|"1ste druk"||"leide001dbnl01"|"1"|"1867"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog09_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog09"|"2009_11   "|"non-fictie"|
"aa__001biog10"|"Biographisch woordenboek der Nederlanden. Deel 8. Tweede stuk"||"1867"|"1ste druk"||"leide001dbnl01"|"1"|"1867"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog10_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog10"|"2009_11   "|"non-fictie"|
"aa__001biog11"|"Biographisch woordenboek der Nederlanden. Deel 9"||"1860"|"1ste druk"||"leide001dbnl01"|"1"|"1860"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog11_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog11"|"2009_11   "|"non-fictie"|
"aa__001biog12"|"Biographisch woordenboek der Nederlanden. Deel 10"||"1862"|"1ste druk"||"leide001dbnl01"|"1"|"1862"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog12_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog12"|"2009_11   "|"non-fictie"|
"aa__001biog13"|"Biographisch woordenboek der Nederlanden. Deel 11"||"1865"|"1ste druk"||"leide001dbnl01"|"1"|"1865"|"aa__001"|"A.J."|"van der"|"Aa"|"1792"|"1857"|"7 december"|"21 maart"|"Amsterdam"|"Gorinchem"|"amste001"||"gorin001"||"0"|"https://dbnl.org/tekst/aa__001biog13_01"|"https://dbnl.org/nieuws/text.php?id=aa__001biog13"|"2009_11   "|"non-fictie"|
