sentence,gpt_labels,warning,log
"De jonge Ojevaars eindelyk genoegzaame kragten gekreegen hebbende, vervoegen zich in de vlugt by de Ouden, en vertrekken in de laatste dagen van Augustus.","[(9, 17, 'animals')]",False,
"De Oever-zwaluwen komen in Frankryk, en vertrekken bykans op denzelfden tyd als de Boeren-zwaluwen.","[(3, 17, 'animals'), (83, 98, 'animals')]",False,
"DEn Hemel wil getuygen, De lichte Maan met al haar gulde sterren, Hoe wy ons herte buygen Voor 't licht dat staag ons sinnen kan verwarren, Wij roepen al, met bly geschal, de Mey is ons verschenen, Die ons uyt minne, dees groote Coninginne Komt verleenen.",[],False,
"DE Vader sondt zijn Soone het Woordt liberale, Daer de kleene kinderen mede waeren in erven, Want ghelijck alle Menschen doodt waren principale, Door Adams onghehoorsaemheydt altemale, En moesten al ghelijck den doodt daerom sterven, Soo sullen nu alle Menschen het Leven verwerven, Door Christus ghehoorsaemheydt, sterven en verrijsen: Nu kan Adams sonde gheen Kinders Zielen verderven Hoe wel dat David spreeckt om den Heere te prijsen: Ick ben van sondighen Zade, der Wormen spijsen, Gheboren, en mijn Moeder heeft my in sonden ontfaen: En of men hier uyt d'Erf-sonde wilde bewijsen, Christus heeft naer Davids doodt die al voldaen: Maer wanneer de Kinderen goedt en quaedt konnen verstaen, Hun eyghen sonden brenghen hun in 's doodts doleuren, Als zy het goede laten, ende 't quaede nae-gaen: Want Godt en haet gheen Menschen tot gheenen uren, Maer de sonde diese doen, doetse van Godt afschueren, Nochtans is't Godts wille niet, dat daer yemandt zy verlooren Daerom heeft Christus de doodt willen besueren, En laet noch alle menschen een goede middel hooren, Dat alle die hem ghelooven, en van nieuws zijn herbooren, Berouw bewijsen, ghenade bidden om deughts vermeeren, 't Gheloove is een vast betrouwen op 't Woordt des Heeren.","[(471, 477, 'animals')]",False,
De paarden der ruiters begonnen onrustig te worden.,"[(3, 10, 'animals')]",False,
"Dit is een Heester-Gewas, waar van men twee zoorten onderscheiden kan.","[(11, 24, 'plants')]",False,
"Dus altijd verlangende en dorstende naar de druiven - met een grond voorbeeldeloos geschikt om de geurigste druif te leveren, indien slechts het duizendste gedeelte van de moeite en zorg daaraan werd besteed, die voor het opbloeien van doornen worden aangewend - leeft hij nu in een ontevreden stemming, steeds met inspanning zijn misnoegde opwellingen tot kalmte en berusting plooiende, en slechts in staat zich voor het gemis van het tegenwoordige te troosten met het vooruitzicht van zwellende, saprijke vruchten..... in de verre toekomst.","[(44, 51, 'plants'), (108, 113, 'plants'), (236, 243, 'plants')]",False,
"Het werd eindelyk avond, de herders dreven hunne kudde naer huis en bliezen hun avondlied.","[(49, 54, 'animals')]",False,
"Soo haest de risp heeft afgeleydt haer swarte vellen, Vliegt door geheel het huys, en gaet de menschen quellen, Komt ongenoot te gast, en om de lichten swerft, Gaet nestelen in 't bont, en menigh kleet bederft.","[(46, 52, 'animals')]",False,
"Dies so gy schildert wilt hem mee vercieren, En krans sijn hooft met groene Lauwerieren.","[(76, 87, 'plants')]",False,
"Zij heeft de deur opengesteld voor eenen stroom van schrijvers en schrijvertjes: geen bijen, die dommelen in den gloed der zon, over bloem en plant; maar gonzende muggen in het vale licht, dat door moerasdampen schijnt.","[(133, 138, 'plants'), (142, 147, 'plants'), (86, 91, 'animals'), (163, 169, 'animals')]",False,
"Van Lichtenberg bestelde, op haar gezag, meubels van weelde en deed alles om het nestje van het toekomstig paar in orde te brengen, zooals onze tijd dit vordert en die vordert veel, o, zoo veel!",[],False,
"De hoofdpersoon van het drama is griffo de Salier, hoewel hem die plaats betwist wordt door caedmon, een Sax en adeling uit Kinheim, die misschien met meer regt de hoofdpersoon genoemd mag worden.",[],False,
Schaep (Het).105 XCVI.,"[(0, 6, 'animals')]",False,
"redenen, om welken Montes quien het regt om de Afrikaansche Volken tot slaaven te maaken, veroordeeld.",[],False,
"Groei op, bloemryke Boom, en laat Uw loof verstrekken Om zeven Landen met Uw lommer zacht te dekken.","[(20, 24, 'plants'), (10, 24, 'plants')]",False,
"kom in, goede menschen, hier is eenen duyvel in huys.",[],False,
"Allengs komt het dier weêr tot leven; vervolgens staat het op en vlucht weg, alsof het eene herhaling van de proef vreesde.","[(17, 21, 'animals')]",False,
"Het paar zal zich van 't volk afzonderen, En kruipen ergens in een hol.",[],False,
Dat was den aap zijn doodvonnis.,"[(12, 15, 'animals')]",False,
"Dra schiet de zon heur strael op den slanken mast, Waer harp en mirttwyg bloeijende zyn vereend, Dan koestert, zuizlend door de zeilen, 't Koeltjen myn oor met de liefste akkoorden.","[(64, 72, 'plants')]",False,
"Neemt Roos Salf, Wit was, elks een half once.",[],False,
"Al het gewoel en al de geboomtjes, Al de Visjes en al de stroomtjes, Al de bladeren in het wout, Al wat zig in 't Bos onthoud, Door de stilte haer Asem schepte, Niet een blaetje dat daer repte, Het Bosje was vol soete lust, Het pluym gedierte in soete rust.","[(23, 33, 'plants'), (75, 83, 'plants'), (41, 47, 'animals'), (228, 242, 'animals')]",False,
"vermorseld, en verscheurt, Is blijven leggen, en het wierd Gegeten, van het wild gediert.","[(76, 88, 'animals')]",False,
"In Italië weet de vrouw met oranjes hare waren vrij wat sierlijker te schikken en als schoon en smakelijk in welluidende taal aan te prij-zen, dan de koopvrouwen bij ons haar fruit.","[(175, 180, 'plants')]",False,
"Somtijds gebruikt men het ook van ligchamen, die weinigen tegenstand bieden: maer overvalt en velt hem om, als winterbui een' lenteblom.","[(126, 135, 'plants')]",False,
"j. bode, enz., en leert uit de Teuthonista, hoe ook in Gelder en Kleef apen voor open, aver voor over, affgaden voor afgoden gebezigd werd (Dr. te Winkel, Leerb.","[(71, 75, 'animals')]",False,
"Daarenboven groeit hier een kruid, genaamt Tormentil, zonder te spreeken van een grote meenigte andere kruiden, planten en gewassen, die ik my niet kan te binnen brengen, en welker namen my inder daad teenemaal onbekent zijn.","[(43, 52, 'plants'), (103, 110, 'plants'), (112, 119, 'plants'), (123, 131, 'plants')]",False,
"6 Hy, die den wreeden hoop gebied, Gelijkt een leeuw.","[(47, 52, 'animals')]",False,
"october van het selve Iaar, op een nooit gehoorde wijs, een (so genaamde) VValvis, van 50 voeten lang, bij St. Anna-Land Gevangen, en afgemaakt heeft.",[],True,'Walvis' (animals) not found
"Dat dan Huishoudkundigen niet uit het oog verliezen, dat gezegde verwoestingen goeddeels daardoor worden vergoed, dat de Mol ontelbare schadelijke wormen en insekten, inzonderheid de poppen der Meikevers, dien geesel des landbouwers, verdelgt; en dat eene geheele uitroeijing van dit zoo zeer vervolgde dier zonder twijfel meer na- dan voordeel zou te wege brengen.","[(121, 124, 'animals'), (147, 153, 'animals'), (157, 165, 'animals'), (183, 203, 'animals'), (303, 307, 'animals')]",False,
"Uyt de Grondstam quaemen drie of vier Tacken voort; en uyt deselve schooten ontelbaer-veel kleyne Telghjens; sigh verspreydende in de lenghte en breedte; doch op soo een verwonderlijck-treflijcke wijs, subtile ruymten, of openinghskens; gelijck die van een Net, of Seef.","[(7, 16, 'plants'), (38, 44, 'plants'), (98, 107, 'plants')]",False,
"Dan volgt de wind, daarop (in tropische gewesten vooral) kleine, honigzoekende vogeltjes en, zooals door Delpino tot nog toe alleen is waargenomen, ook slakken kunnen kruising doen ontstaan.","[(79, 88, 'animals'), (152, 159, 'animals')]",False,
"Ezels hebben geld; mannen van talent, zooals Richard, hebben het niet.","[(0, 5, 'animals')]",False,
"’ Doch moet hij, die gewend aan 't naar geblaet der schapen, En aan 't gebulk des stiers, 't gegnor van 't morsig zwijn, En aan 't geloei der koe, niet als een aap staan gapen Bij elken klank?","[(52, 59, 'animals'), (82, 87, 'animals'), (114, 119, 'animals'), (142, 145, 'animals'), (160, 163, 'animals')]",False,
Fido!’ en de hond kwam uit het hoekje van den haard waar hij lag te slapen.,"[(13, 17, 'animals')]",False,
Cats daarentegen onder de Hollanders smaakte hem beter.,"[(0, 4, 'animals')]",False,
183: reeds beoordeeld.,[],False,
"Op het oogenblik dat zy meende te spreken, hoorde zy de kletterende stappen van een dravend peerd in de straet galmen: dan verstond zy den zin der woorden van Machteld.","[(92, 97, 'animals')]",False,
"MErcurius van Jupiter uytgesonden zijnde, kreeg op de reyse grooten honger, vond onderwegen eenige Snijders by malkander sitten, die haar maaltijd hielden met graauwe Erwten, die sy een voor een met de punt van de Naalde quamen te nuttigen: bad haar om een aalmoese: Doe gaven sy hem een naalde, en seyden, doet als wy doen; Hy grooten honger hebbende, keerden de naalde om, op hoope van twee t' seffens te krijgen; De Snijders dat siende, vlogen toe, en seyden: wel gy ongeschikte beest, sult gy met Schuppen en Spaan eten?",[],True,'Mercurius' (animals) not found
"De Gothiek bestudeert de behoeften der maatschappij, doordringt die, en maakt zich dienstbaar aan den mensch: en zoo behoort het: want was er scheiding gekomen tusschen den mensch en de natuur, tusschen de menschen onderling, tusschen den mensch en God, tusschen den mensch en de wetenschap, van het oogenblik af, dat de appel des oproers, op aanbeveling der Paradijsslang, aanvaard was: God heeft zich gewaardigd zich met den mensch te verzoenen; God is mensch geworden, de ontbindende kracht is gebroken, dood en hel hebben haar prikkel verloren, de Christen sterft niet meer, is eeuwig, en daarom behooren alle krachten zich tegenover hem, den lieveling Gods, klein te maken, en behoort de kunst niet blootlijk meer den Godsdienst te symbolizeeren, maar hare voorstellingen volkomen genietbaar te maken voor den mensch.","[(321, 326, 'plants'), (359, 372, 'animals')]",False,
"Wy verstaan desgelyks de kunst van loopen, en ik geef het den besten Europischen Ruiter een Hottentet te agterhaalen.",[],False,
"Een oud woord, welk den rand, of uitersten kant van eenig djng aanduidt.",[],False,
Zie artischokken.,"[(4, 16, 'plants')]",False,
"Kat zonder ooren, ronde barken, welke geschut en krijgsvoorraad aan de schepen toevoeren.",[],False,
