sentence,gpt_labels,warning,log,huggingface_labels,disagreement
"Wij ook waren ééns zoo zalig, Zoo gelukkig in 't bezit Van een kind, dat wij beminden, Bloeijend, schoon, gelijk aan dit.",[],False,,[],False
"De tooneelschappen, aan den prijskamp willende deelnemen, moeten, voor 1 Juni, daarvan kennis geven aan den voorzitter der Jonge Tooneelliefhebbers; tevens moeten zij een afdruk of afschrift van het door hen te vertoonen stuk en eene waarborg van 50 fr. opsturen; deze som zal worden teruggegeven na afloop der tooneelvoorstelling en verbeurd zijn in geval van niet-optreding.",[],False,,[],False
"Deze, door eene geweldige krachtinspanning, wreef de tranen van zyne wangen en betoomde zyne diepe droefheid; hy vatte Bruno's hand en sprak op doffen toon: ‘Bruno, wat ik u zeggen moet, wil my niet over de lippen; moest ik op dit oogenblik u het hart doorsteken, moest ik myn zelven eene doodelyke wonde in den boezem slaen, het zou u en my honderd mael minder pynelyk zyn dan de yselyke tyding die ik u te melden heb.",[],False,,[],False
Ende hem dunct dat die goede lude van religione geen goet en hebben dan tot harer behoef.,[],False,,[],False
"’ Ik ben meer dan manna; als uwe vaderen geen water uit de steenrots gedronken hadden, zij zouden met het manna in den mond van dorst gestorven zijn.",[],False,,[],False
Hierin ligt ongetwijfeld hun onderscheidend kenmerk.,[],False,,[],False
"Nu ziet gy, dat deeze eilanden niet verre afleggen van die streek, daar men zegt, dat men onder de linie is, en daar de zon somwylen vlak boven het hoofd van de menschen staat, en dus moet het daar al zeer heet zyn.",[],False,,[],False
"'Wie kan die spijt, dien hoon bij zoo veel rampen dulden?",[],False,,[],False
"Hoe het zij - Ik heb, schoon ik weet, dat gij, ook al uit dezelfde brave beginsels, een vijand van krijgslisten en vooral in het stuk van minnehandel zijt, die ik u wel eens met den naam van ondeugende intrigues heb hooren doopen, schoon ik dat alles weet; ik heb toch in het ingesloten papier, dat nog verzegeld is, een kleine krijgslist voor u verborgen.",[],False,,[],False
"[Guilliam Caudron] Caudron (Guilliam), geboren te Aalst in 1607 en gestorven in 1692, was factor van de rederijkkamer der Catharinisten, onder de zinspreuk: Konste verheugt, in zijne geboortestad.",[],False,,[],False
"De jonge Ojevaars eindelyk genoegzaame kragten gekreegen hebbende, vervoegen zich in de vlugt by de Ouden, en vertrekken in de laatste dagen van Augustus.","[(9, 17, 'animals'), (100, 105, 'animals')]",False,,"[[9, 17, 'animals']]",True
"De Oever-zwaluwen komen in Frankryk, en vertrekken bykans op denzelfden tyd als de Boeren-zwaluwen.","[(3, 17, 'animals'), (83, 98, 'animals')]",False,,"[[3, 8, 'animals'], [9, 17, 'animals'], [90, 98, 'animals']]",True
"Wat God te geven heeft - zijn Waarheid, en de schatten Der Liefde - deed zijn zorg in gouden schaal bevatten; Zijn Opperpriester giet haar over 't aardrijk uit.",[],False,,[],False
Hij overleed vroeg aan de aanvallen van podagra.,[],False,,[],False
En wilje noch al meer?,[],False,,[],False
"Bij ons vindt men hem gewoonlijk van mei tot augustus, in het midden van welke laatste maand hij weder naar het zuiden trekt.",[],False,,[],False
Zorgel.,[],False,,[],False
"Om voor Expressen te dienen, als ik nodig oordeelde dat zulks moest geschieden, Of zy moesten de Visscherspinkjes ook vleugels aan naaijen.",[],False,,[],False
Zoo moet het zijn.,[],False,,[],False
"Hij heeft veel in de wereld rondgezworven; hij was eindelijk hovenier geworden op een buiten van luttel morgens bij een goed meester; hij zou het gebleven zijn, zoo hij niet ware gehuwd, niet in de kinderen vervallen!",[],False,,[],False
Deze kaarten zijn waarschijnlijk wederom naar Starings schoolkaart gevolgd.,[],False,,[],False
"Wy gheloouen in Jesum Christum tsaem † Onsen Heere seer hooch ghepresen Den Vader hem van ‡ eewicheit bequaem * Ghebaert heeft, met hem een † int wesen ‡ Ja Godt met den Vader in desen * En Godes Soone so wert hy bekent ‡ Van eewicheyt also wy lesen Leeft hy tot in eewicheydt sonder ent.",[],False,,[],False
"Het zelfde heeft, naar men zegt, ook plaats op het eiland Ceram, een van de Moluksche eilanden, daar men slechts drie mylen behoeft te gaan, om uit den winter in den zomer te komen.",[],False,,[],False
"Maar waar is 'er in de wereld ooit een zo goede remedie gevonden om de gebreken van het hoofd te verdryven, en te voorkomen?",[],False,,[],False
En al die bewegingen werden uitgevoerd zonder een enkel woord of kreet of glimlach.,[],False,,[],False
"Ik verwachtte zulk eene lange loopbaan niet: toen ik het twintigste jaar myns ouderdoms bereikt had, rekende ik niet op myn dertigste; ik durfde my niet vleijen met myn veertigste.",[],False,,[],False
"Hij weet bovendien welke wet, en door hoeveel stemmen die telkens zal aangenomen of afgestemd worden.",[],False,,[],False
"Maar dewyl de mensch in verband staat met zoo veele andere weezens, en de veranderingen, welke hy in zyne beide deelen ondergaan kan, van zoo veele oorzaaken afhangen, zoo geschieden in hem veele zulke veranderingen, welke, in het afgetrokkene voorgesteld, door eenen sprong schynen te gebeuren; maar, wanneer wy daarby stil staan, zoo ontstaan ook alle deeze veranderingen, langs zekere vaste wetten, en door eenige bereide oorzaaken, in welke haare genoegzaame Reden voorhanden is, en alzo geenzins door eenen sprong.",[],False,,[],False
"Heeft seer veel inloopende Vloeden; waer onder oock zijn de Wolga, Araxis, Oxus, en een groot getal andere; Hyrcanische of Kilanische Strand; wijl ter dier plaets seer veel Stroomen daer in vallen.",[],False,,[],False
"Weinige schriften worden door jonge lieden met zo veel drifts gezogt en doorloopen, dan zulke, die de gevoeligheid opwekken.",[],False,,[],False
Van instrumenten waren zij ruim voorzien.,[],False,,[],False
"'t Is nochtans beyde een gaeve Godts, 't is beyde sy selven te boven gaen; maer het een verre, het ander niet verre.",[],False,,[],False
"Het was, wat men gewoon-lijk van alle deze nachtverblijven kan zeggen, eene der schoonste partijen van de bosschen aldaar.",[],False,,[],False
"Wêet, dat die voor't Gerucht zig zelven bloot gaet leggen, Moet wachten, wat het spits van yders tong zal zeggen: 'T en werdt niet all geroemt, dat wel geprezen dient; Het goed geruchte loopt na datmen is gevriendt.",[],False,,[],False
