Sentence,Labels,Flagged
Zij erkent geene overeenkomst tusschen trekker en nemer of tusschen endossant en geëndosseerde; evenmin eene lastgeving van den trekker aan den betrokkene.,[],False
"‘Ik meende, dat gij van de onzen waart, en zelfs een hoogen graad bekleeddet.",[],False
"Verduldicheyt, in teghenspoet.",[],False
", die zóó geconstrueerd kunnen worden.",[],False
"Zijne roekeloosheid heeft een' zoo hoogen top beklommen, dat ik waarlijk gelooven moet, hoezeer anders alle stemmen zich tegen hem veréénigen, dat alleen de hevigste liefde eenen jongeling tot zulke onbezonnenheden vervoeren kan.",[],False
"Wij willen op deze loffelijke hoedanigheden niets afdingen, en willen zelfs den Schrijver toestemmen, dat er in Duitschland gebrek kan zijn aan populaire geschriften over de Veeartsenijkunde, welke aan al de vereischten voldoen, door den gebruiker van zulk een werk billijkerwijze te verlangen.",[],False
"Als hij eens het uitzicht uit de kamer van jufvrouw Rimini vergeleek met het uitzicht uit zijne kamer, zou hij er waarschijnlijk over kunnen oordeelen.",[],False
"- De weinigen, wier ligchamen bestand zijn geweest tegen zooveel ellende, en die terug zijn gekomen als levende geraamten, naauwelijks met lompen bedekt, staan daar als getuigen voor hemel en aarde van den vloekwaardigen geest die de rebellie bestuurde.",[],False
"- Toen dan ook de dood, bij verrassing, deze heldennatuur nedervelde, die gemaakt scheen om nooit te sterven, heeft de kunst, die hij zoo sier vertegenwoordigde, het hoofd gekromd en erkend wat oneindige leêgte het bezwijken van eenen man in haren schoot gelaten had.",[],False
Myn Vriend Veldenaar gaat naar zyn Regiment.,[],False
Slechts zelden wordt hij gebruikt; want de overleden Heer ging weinig ter jagt.,[],False
"Vrienden, zulken blaren laat Ik alleen maar recht weervaren In de saus der carbonaad!",[],False
Ick leau (sey jae) dat jon forbod eere uwt haet az uwt ljeafde spruwttet.,[],False
"Met zulk een oog wenschen wij, dat het boek beschouwd worde; dan zal men geene voorgeslachten meer benijden, die voor schandelijke Vorsten knielden als voor engelen des lichts; voor onverlaten, die beweerden Gods stedehouders te zijn, terwijl zij in hunne paleizen kweekscholen aanlegden, waar de Satan-zelf gevaar liep te druipen door 't examen, dat er werd afgenomen.",[],False
"Gelukkig voor haar dat zij aan geld ook op één avond rijker werd dan menigeen gedurende zijn ganschen levenstijd, want de voet, waarop zij leefde, eischte telkens nieuwe uitgaven.",[],False
"De aanteekeningen zijn vooral daarom belangrijk, daar zij enkele min bekende Dichters nader doen kennen, en tevens dienen, om andere navolgingen van hetzelfde oorspronkelijke op te geven.",[],False
"57 Cuph Ghi quaemt bi mi inden daghe doen ic v aenriep, ghy seyt, en vreest niet.",[],False
Meer met blikken dan met woorden hielden de schuimloopers met elkander krijgsraad.,[],False
Uit die acte blijkt dat de Regeerders tegenwoordig repraesenteren den Pater van St. Agatha en den Prior in de Birkt als collatores.,[],False
"Om deze kleur weg te nemen worden er verschillende andere kleuren aangebracht, terwijl men, om de rosékleur te verkrijgen, arsenikhoudende overblijfsels gebruikt van fuchsinekleuren.",[],False
Zyn droom is schoon!,[],False
’ Kletterend vielen de geweren in den aanslag.,[],False
"Hij bekent rondelijk, dat dit met de hedendaagsche leerwijze, bij de Hervormden vrij algemeen aangenomen, geenzins overeenstemt, maar dat dit evenwel toch waarlijk de oude Gereformeerde Leer is, die in de Formulieren van Eenigheid is begrepen, wier opstellers, in de Roomsche Kerk geboren en opgevoed, het een en ander uit de denkwijze en den spreektrant, waaraan zij gewoon waren, zullen overbehouden hebben, waarvan men naderhand wijslijk is teruggekomen.",[],False
De vvoorden Amaryllis.,"[[12, 21, 'plants']]",False
Dan zult gij den zotten opschik zien van den persoon en de zaal eens parvenus.,[],False
"Uit een ingesteld wetenschappelijk onderzoek is gebleken, dat de kleur van het zeewater grootendeels afhankelijk is van den verschillenden zoutinhoud.",[],False
"‘Welk een troost, dat ik u hier zie.",[],False
"Lucifer inden Hemel, Adam in't Paradijs, Judas en Petrus wesende van't gheselschap der Apostelen.",[],False
Zyt gy geen meester van de Schoone welke u griefde?,[],False
"*** Redevoering in de eerste buitengewone vergadering van het Geneeskundig Gezelschap: Mutua exercitatio in populi salutem, als afdeeling Onderdendam der Nederlandsche Maatschappij ter bevordering der Geneeskunst, gehouden den 22 Augustus 1850, door haren Voorzitter L.T. Schleurholts, Med.",[],False
"Men meynt dat hy een fontenel had, die sig door de strot in den mond onder de tonge opende, hier door leyde een looden Pijpjen, welke beneden in een leeren pijp eyndigde, en tot onder in de schoenen kan neer gaan, wanneer hy nu water dronk, liet hy al het water door deze Pijpen onder de schoenen uyt, 't welk niemand en merkte.",[],False
"De dwergen, Ivaldi's zonen, de geheimzinnige wachters, die werkzaam zijn in de diepe duisternis onder de aarde, hebben het gesmeed.",[],False
