,sentence,label
0,"Jae sy vanghen oock Hasen, Konynen, Vosjes, Swijntjes, Gansen, Kranen, Eyndvoghels, en wilde Hanen.","[(20, 25, 'animals'), (27, 34, 'animals'), (36, 42, 'animals'), (44, 53, 'animals'), (55, 61, 'animals'), (63, 69, 'animals'), (71, 82, 'animals'), (87, 98, 'animals')]"
1,"Om Amarilla mijn beminde, Slapende te vinden By een Roosen struyck: Soo haest sy nau ter aerden sijgt, Niet eenen blad of telgjen swijgt: Maer seyd, nu Cloris gaet, En u met Cusjes saet.","[(52, 66, 'plants')]"
2,"- Het twede bewys is, dat de Dieren hier zo min als de Menschen alle hunne krachten ontwikkelen, en niet tot die volmaaktheid komen, waartoe zy volgends hunnen aanleg bestemd zyn.","[(29, 35, 'animals')]"
3,"Drie fortuinzoekers hadden berekend, dat eene zoo zonderlinge aankondiging niet kon nalaten, den onfeilbaren aftrek van zestig duizend Loterijbriefjes, tot een zoo geringen prijs, te bezorgen, en voorhands honderd onderscheidene middelen beraamd om de echtverbindtenis te voorkomen.",[]
4,"Den Munchbrasem seght Benedictus den Zeelt, andere den Kapito, gelijck te zijn: Rondeletius seght, dat hy grooter is als den Orphus der Ouden, die van den Barbeel wierdt ingeslockt, want hy weeght wel 20 pont, en den Pagrus gelijckt, zijnde uyt den paersen roodt, met groote oogen, zaeghswijse tanden.","[(4, 15, 'animals'), (37, 42, 'animals'), (55, 61, 'animals'), (125, 131, 'animals'), (155, 162, 'animals'), (217, 223, 'animals')]"
5,Als doen ginck hy haer Vader vinden?,[]
6,"Van den Heer W. Broes ontving de Maatschappij het tweede Deel zijner Leerredenen, en van den Heer P. Weiland een volledig Exemplaar van deszelfs Nederduitsch taalkundig Woordenboek, terwijl eindelijk de spreker het genoegen had, haar zijne Laudatio Jani Dousae cum subjunctis annotationibus aantebieden.",[]
7,"De magt aan Hem verleend zijnde, moest de tijd der oneindige kibbelarijen en van 't niet gelastigd wezen voorbij zijn.",[]
8,Maegdenplicht ofte Ampt enz. Breed 12o met platen.,[]
9,"DomingoAntilles en Caribische Eilan-denFlamingo, van welken seba zyne Figuur ontleende, was hem van Curacao gezondenPeru, en tot in ChiliZuid-America, of de Reizigers hebben 'er deezen Vogel aangetroffen.","[(39, 47, 'animals')]"
10,"Ieder jaar komen kooplieden deze waar, alsmede de dons der eenden en den gezouten en gerookten visch, bij deze nijverige bevolking, opkoopen.","[(59, 65, 'animals'), (95, 100, 'animals')]"
11,"Besnijdenis: II 158, 159.",[]
12,"Mogelijk wel, dat het ooievaarsmannetje aan zijn wijfje vroeg: ‘Nu, hoe bevalt het je hier?","[(22, 39, 'animals')]"
13,"Men hoorde het in de hoogste en laagste standen zingen, en zelfs als Napoleon I zijn oorlogspaard besteeg mompelde hij: Malbroek die gaat ten oorlog enz. Papier in Japan.","[(85, 97, 'animals')]"
14,"Doch geenzins om daar door uw Godheid te verachten, O neen! 'k zal tot uw eer doen honderd Rund'ren slagten, En tien paar Stieren, in de Tempen vet geweid, Tot een betuiging van verpligte dankbaarheid.","[(91, 99, 'animals'), (122, 129, 'animals')]"
15,Wie is myn eerste beginzel? .....,[]
16,"Waar op de Schryver hem meester maakte van het Geschrift, met verlof om 'er zodanig een vorm aan te geeven, en 'er zulke byhangzels of aanmerkingen nevens te voegen, als hy zou meenen dienstig of noodig te zyn.",[]
17,"Gy schenkt het Manna van den hemel af gevloten Door 't heylich woord dat op ons neder wert gegoten Met stromen, en gy doet door't bidden Son, en Maan, Mee aan den hemel van het herte stille staan, Dat's in verwond'ring om het luystrend oor te strelen, Wanneer g'op Davids toon soo minnelijk gaat quelen De Lofgesangen van het groot en opper All, Gy weydt op Gilead U vee in't Lely dal: O!","[(376, 380, 'plants'), (367, 370, 'animals')]"
18,"Van de Hollanders waren, in 't geheel, vyfhonderd man gesneuveldWouter de Fries, Baljuw van de Kuinder, of volgens anderenWerenbold uit de Haage, Ridder, en Albrecht, zyn Broeder, Wouter van Egmond, Ridder, en Willem, zyn Zoon, Dirk van Raaphorst, Ridder, en Gerard, zyn Broeder, Jakob van Wassenaar, Ridder, Bernard uit den Enge, Ridder, Gerard van Hermelen, Ridder, Gerard Ever en veele anderen Sedert voerde Graaf Floris, van tyd tot tyd, kryg tegen de Westfriezen, nu met voordeel dan met schade: van al 't welke, onze Historieschryvers verzuimd hebben, de omstandigheden behoorlyk aan te tekenenAkersloot en Uitgeest, het Schot, welk zy jaarlyks gewoon waren te betaalen, voor den tyd van drie jaaren, kwyt, op dat zy zig, te williger en te dapperer, tegen de Friezen stellen zoudenWormer werden, omtrent vier jaaren laater, van alle Graaflyke Beden en Tollen vry verklaard, om dat zy, in zeker gevegt, eenige Friezen gevangen en den Graave overgeleverd haddenaart wasHertoge Jan van Brabant, Ridder hadt doen slaanJan van Avennes, als Graaf regeerde.",[]
