Sentence,Labels,Flagged
"Ja, thans is de eeuwenkring van haet en twist gesloten; Thans is het ryk voorby van wreede onmenschlykheid.",[],False
"' Snorri bekende, dat hij met het voornemen gekomen was hem te dooden, maar voegde hij er bij: 'gij hebt bij onze ontmoeting zulk eene voor u gelukkige wending aan de zaak gegeven, dat ik u dit maal in vrede moet laten.",[],False
"Op vele plaatsen zijn kweekscholen opgerigt, waarin de zendelingen veelbelovende inlanders tot onderwijzers van hun volk opvoeden.",[],False
"De Romeinen eerden haar als Aarde onder den naam van Tellus en Tellumo, waar van Tellus vrouwelyk en Tellumo mannelyk was, over zulks zy zoo wel een God als Goddin verbeelde.",[],False
"[Zie de Ophelder.] Hier trachtede zij den Koning tot bemiddeling tusschen haar en haren zoon over te halen, en deze was overbodig zich daartoe te leenen.",[],False
"Hier leggen wij de wapens af, Na zoo veel strijd en wonden; En is de doodslaap eens volbragt, Dan wekt Gij ons door uwe kracht, O Jezus!",[],False
"En bygevolg is het nodig, eer ze schryven, dat ze de oude Brieven aan dezelve luiden eerst nazien en doorlezen.",[],False
"van na, nl. in (9) binaest; vg.",[],False
Deze geleerde novellist is namelijk zeer historisch en lokaal naauwkeurig..,[],False
"Segghende: wanneer ghy uwe gaven op den altaer offert, ende daer ghedachtich wordt dat u broeder wat teghen u uytstaende heeft, soo laet daer u gaven voor den altaer, ende gaet versoent u eerst met uwen broeder, soo sal u oock uwe Hemelsche vader vergheven, ghelijck hy onghetwijfelt doet, waer over de Prophete roept: [Mic].",[],False
"Maar onze Eduard, dit alles verachtende, gaat de deugd te gemoet.",[],False
"Uit vreeze, dat de Graaf de Naalaatenschap der Baronesse uit het Land zou vervoeren, kon de Regeering, met den Landgraaf, goedvinden, hem in zyn eigen huis vast te houden, rotting en degen af te neemen, zyne papieren te onderzoeken, een Geschrift daar uit te ligten, en te beletten een Boode naar den Haag te zenden, om den Staat van deeze geweldenaaryen te verwittigen.",[],False
"Sy was hare overste oock sonderlingh toe-ghedaen, ende over-sulcks bewees sy haer-lieden eene besondere eerbiedinge, sy was met eene groote liefde ende blijdschap, oock tot den minsten winck onderdanich, ghelijck sy ten eersten te kennen ghegheven heeft in de overste van den tempel, ende na-der-handt aen Ioseph: sy en dede niet-met-allen sonder hen-lieden goedt-duncken, soo veel als't moghelijck was, maer sy gaf haer welven teenemael over in den wille van Godt al-machtich, desen omhelsde sy uyt gantscher herten, met een groot betrouwen in Godt; ghelijcke klaerlijck bewesen heeft in de mensch-wordinghe, ende als sy heeft moet vlieden in Egypten, ende van daer weder-om heeft moeten keeren, etc.",[],False
"De gisting der tijden moest zonder twijfel uit den schoot van dit bijzonder volk veldheeren en staatslieden baren, die 't verdoold Europa aan de heldeneeuw van vroeger herinnerden.",[],False
"Gelukkig hebben zij in onzen consul een man gevonden, die voor hunne belangen waakt en zijn ze in het vreemde land niet ten eenenmale verlaten.",[],False
"Neemt levendige Karper, en maakt die aanstonds zo levendig schoon, en prikt ze langs de rug, en bestrooid ze met peper, azyn en zout, laat ze wat staan; doet dan by dit nat wat veel limoen-schillen en kookt het eens op, en giet het op die Karper, en dan zal ze blaauw worden, kookt ze dan gaar in wat wyn, daar men gekurvene petercelie in doet.",[],True
"Gij, die ons verlaat, ik verzoek u niet, u mijner of dezer academie te herinneren; wat zijn wij!",[],False
"Zijn talent om voor de vuist, maar boven al op gegeven rijmklanken, iets te vervaardigen, was in waarheid buitengewoon; zoo dat menig, aldus door hem vlug ter neder geschreven, versje wel waardig was geweest, om bewaard te blijven.",[],False
Het laetste vers van de eerste helft van het vel:,[],False
Het vertrek zelve was met eene zekere pracht gemeubeleerd.,[],False
Mannen van den krijg.,[],False
Van vloeying uit verkoudheid.,[],False
"Te vooren plagt men onderweegs de kust van Spanje aan te doen, om te Cadix geld tegen dertig pro Cent op te neemen: doch dit geschiedt niet meer.",[],False
"Achter zijn praalbed, had men zijn Verheerlijking geplaatst.",[],False
"Maar de ervaring leert, helaas!",[],False
"Had, ze hem dan niet lief?",[],False
ô Neen!,[],False
"In ‘Onze voorouders’ gaf onze schrijver, in een reeks van verhalen, een als 't ware aanschouwelijke geschiedenis der Nederlandsche gewesten, van de komst der Batavieren en Friezen af.",[],False
"Gottfried van Straatsburg zegt in zijn Tristan,Tristan 4794:",[],False
"En nu zal ik je een groote Waarheyt zeggen, warme Vriendin, dat is, dat ik je meer als ooit bemin volgens deeze Grondstelling.",[],False
Op een aangename Vois.,[],False
"en dat is ook minder, want ik kan nog al goed met alle menschen overweg en ben nu geborgen, want behalve kost en inwoning en bewassching.....’ ‘Ook bewassching?’ herhaalde zij, met een opgetogen blik.",[],False
en snorken wegens de delikaatheyd van deze en geene Wijnen.,[],False
"Dat wij dit Dichtstuk vermelden is alleen ter eere van den gevierden Dichter van den Togt van heemskerk; doch wanneer bogaers een voor hem zoo weinig beteekenend vers dicht, hij die de gave der poëzij zoo ruimschoots bezit, dan is daarmede tevens onze stelling al weder verdedigd, dat de Dichter de stoffe tegen zich had.",[],False
"De Angelsaksen zeiden reeds eallewaege, voor altijd, waarvan het engelsche alwaijs afkomstig is.",[],False
"Hierop volgt, in de tweede Afdeeling, de overweeging der uitbreiding en ontwikkeling der denkbeelden by de Dieren, en dus het onderzoek, of den Dieren eene zoort van afgetrokkene zinnebeeldige kennis, en dus ook eene spraak, kan worden toegeschreeven; 't geen in een zekeren zin bevestigend wordt beantwoord: terwyl insgelyks wordt geleerd, dat de Dieren het vermogen bezitten, om zich voormaalige denkbeelden te herinneren, en de in hunnen kring passende oordeelen en besluiten te vormen.",[],True
"Hier kondt ghy bemercken hoe dat, het Mont- Ghebedt, d'Aspiratie ende Meditatie in gheheel den 1.",[],False
"der Blyde Inkomst van den Heer Geeraardt Bikker, Slotvoogdt en Drost van Muide, Baljuw van Goilant, Hoofdtofficier van Weezop, Weezoper-Karspel en Bilemeer: Zoon van den Heer Andries Bikker, Heer van Engelenburg, Burgemeester t'Amsterdam, &c. door Jan Vos t'Amsterdam, by Jacob Lescaille, Boekverkooper op de Middeldam, naast de Vismarkt, 1649.",[],False
"Gezwierd door vlaemsche burgerdeugd, En zijn gevangen', Filippine, Juicht nog eens tot den Ongeziene, En voelt haer ketens niet van vreugd.",[],False
"Ghenadich ende lanckmoedich, Hy straft oock niet na zijn ghericht, Maer hy is so sachtmoedich, Dat hy niet altijt schelden wilt, Maer synen grooten toorn stilt, End oock met ons niet handelt, Na onse sonde ende boose daet, Die hy ons niet vergolden haet, Doen wy se hebben bewandelt.",[],False
Tooneel.,[],False
6.12Die vorst der duysternis houdt op mijn ziel de wacht; Col.,[],False
"Deze werd echter van alles onderrigt door brieven van den Paus, die hem gedurig aenmaende om den Stoel van Roomen te beschermen tegen de heimelyke aenslagen zyner vyanden, gelyk hy 't gedaen had tegen hunne geweldenaryZie de brieven van paus Paulus in den Codex Carolinus, by Bouquet, V, bl. 503 en vlgg..",[],False
"De liberale partij in België, althans de gematigde meerderheid dier partij, ziet het programma harer voormalige eischen volkomen in de constitutie van 1830 vervuld, en verlangt slechts de ongestoorde ontwikkeling dier beginselen en hunne handhaving tegenover de magtsoverschrijding der geestelijkheid.",[],False
"Wie tog kan met zyn vernuft de Eeuwen, door Gods vinger alleen beperkt, nagaan?",[],False
"Gaarne schreven wij er een deel van over; maar, waar zouden wij ophouden?",[],False
"Dan mist gij den polsslag der Waereldrivieren, Slagaders, die 't lichaam der Aarde doorzwieren, Dan telt bij uw wondren één wonder niet meê: Dan hebt gij geen Zee!",[],False
"onder te gaan in een groote mogendheid, besefte men de onschatbare waarde der verloren zelfstandigheid.",[],False
"Zoo ik eigenaar van schepen was, ik zou mijn kapitaal naar houtrijke streken overbrengen, en de bodems, dáár gebouwd, beladen en bevracht, in Sunderland met voordeel komen verkoopen.",[],False
"Na de mededeeling van bijzonderheden uit dat relaas gelezen te hebben, zal men ongetwijfeld met mij eenstemmig denken.",[],False
"Alsof je boven den grond nog geen eigen familie hadt!’ ‘Had ik die, Tante?’ vroeg Lize, haar schitterende oogen op haar vestend.",[],False
"‘Met andere woorden,’ zeide ik, naar boven gaande, ‘het zou beter geweest zijn de boel maar in den pekel te laten zitten.’ ‘Dat zeg ik niet,’ hernam zij, ‘maar ik geloof toch dat er net zoo goed wat meer overleg gebruikt had kunnen worden, wor?’ ‘Maar, wat drommel, Cato, er was immers geen tijd om met overleg te werk te gaan, zonder er alles aan te wagen.",[],False
"[90] Wat sal ick Mirabel, van Dijck, Of Vlegels lamp- en kaers-licht prysen De stommen sullen 't vonnis wysen, Geen leven is hier ongelijck.",[],False
"Zoo werden te Leiden in 1598 drie prostituées uit een gestoord bordeel, elk langs een verschillende poort, ter stede uitgedreven.",[],False
"Enkele gedichten zijn in eenen allegorischen zin opgevatIn het referein van Antwerpen wordt de H. Schriftuer verheerlijkt; in dat van Thienen zijn de aenroepingen gericht tot ‘Maria, de maecht vanden Paradise;’ in dat van Deinze wordt de broederlijke liefde bezongen.",[],False
"De whiteboy die zich bij ons gevoegd had, sprak niet, maar haalde eene pistool voor den dag en spande den haan.",[],False
"Oefen ze wat, en ga gy nu eens voort.",[],False
het is dan waer!,[],False
"In de wetenschap heeft Prof. Scholten hiermeê volkomen gelijk: een beroep op een gevoel of bewustzijn, daar men de grond of oorzaak niet van aanwijzen kan, geldt in de wetenschap niets.",[],False
"Hoet, (A.",[],False
"Nimfen, die ons kunt bekooren, Zet u neder by het riet, Onder 't ruisschen van de abeelen, Daar het Y de boorden schuurt Van de rykste visschersbuurt.","[[50, 54, 'plants'], [82, 89, 'plants']]",False
"O neen, zij zwijgen allen stil.",[],False
"Ook heeft deze zeltsame en wonderlijke lengte den Reuzen, na Baruchs zeggen, tot hare zaligheit niet geholpen; want waer zijn, vervolgt hy; de Reuzen, die eertijts geroemt, groot van gestalte, en in d'oorlog geoeffent waren?",[],False
't Is de oude knegt.,[],False
De volkslievende oorlog breekt uit.,[],False
"Zij hebben andere zeden en gewoonten aangenomen, en houden het, zooals de ondervinding leert, slechts met moeite bij de hunnen uit, vervallen dikwijls in verkeerdheden - en er zijn voorbeelden, dat zij zich zelfs niet schaamden, om de hand naar den voorbijganger uit te steken.",[],False
"Van Lennep behoorde niet tot die geleerden, welke een bepaald stelsel scheppen of aan het hoofd staan eener scherpgeteekende rigting, welke zich in hunne kweekelingen afspiegelt; Van Lennep wist elk dier uitstekende leerlingen in te leiden op den weg, welken zij volgen zouden, hen daarop aan te moedigen en door de eens gelegde grondslagen hun dien weg gemakkelijk en aangenaam te maken.","[[199, 203, 'animals']]",False
"‘Zijne Majesteit,’ zeide Villeroy de Secretaris van Staat, ‘ziet geen reden om in zulk een gewichtige aangelegenheid zoo plotseling van besluit te veranderen; te minder, daar hij weldra in staat hoopt te zijn om de beroerten, in Frankrijk begonnen te vereffenen.",[],False
Waerom zyt gy zoo smartelyk aengedaen?,[],False
"’ Zo waar is het, dat het warm dichterlijk gevoel onder het werken, woorden en uitdrukkingen, als van zelven, vindt, die de schranderste Wijsbegeerte nimmer vinden zou, en die men bij de hardnekkigste vlijt moeite heeft, om, ook maar gebrekkig, te vertaalen., altijd en aan alle menschen behaagen, en in denzelven kwamen geen eigentlijke kundigheden te pas.",[],False
"Domine's lot is gierig, boos of zot (De ongegrondheid van het spreekwoord) beweezen.",[],False
"Eilanden waren alles wat wy verwagten konden te vinden, tot dat wy weder naar het Zuiden zouden keeren.",[],False
